E_true	S1 Mean		S1 Res [%]		S2 Mean			S2 Res [%]	Ec Mean		Ec Res[%]	Eff[%>thr]
0.17	1.93516		nan    			262.910697		nan    		0.524715	nan		0.0001
0.18	1.7997		nan			224.550269		nan		0.465997	nan		0.0001
0.19	2.289593	0.774557		212.387122		40.077517	0.5121		17.892618	0.0002
0.2	2.143304	3.271948		207.6423		17.672209	0.489103	6.539892	0.0003
0.22	1.860675	8.097215		233.970729		14.819419	0.483783	9.776808	0.0008
0.24	1.991705	10.091829		239.286243		15.740471	0.505554	4.221187	0.0008
0.26	1.973749	8.260653		263.357372		18.307276	0.529894	9.602664	0.001
0.28	1.959789	12.329374		248.925704		23.610549	0.512298	12.297289	0.0014
0.3	1.907531	13.13291		285.803944		23.028798	0.546582	15.087861	0.0028
0.32	1.956436	10.050371		294.418843		22.442232	0.562014	13.652078	0.0041
0.34	1.955854	9.535712		311.955892		24.460587	0.581265	14.223086	0.0041
0.36	2.047731	9.741738		331.860907		23.05653	0.614355	13.791709	0.0062
0.38	1.985184	11.468614		343.601214		23.340985	0.619693	15.326167	0.0075
0.4	1.977992	11.678518		354.015286		24.17712	0.630294	15.732192	0.0084
0.42	1.995479	14.636798		386.918132		23.421953	0.668669	16.017625	0.0106
0.44	2.020361	12.179821		388.496268		23.173506	0.67343		15.209665	0.0121
0.46	1.955962	10.712453		400.116028		24.14263	0.67841		16.006066	0.0183
0.48	1.963885	11.93024		420.521639		21.327099	0.701855	14.702391	0.0185
0.5	1.9706		11.476202		429.944856		22.657822	0.713053	15.678696	0.0196
0.55	1.938301	11.575385		469.020812		21.49931	0.752182	15.218421	0.0384
0.6	1.958615	12.614873		522.883065		21.4642		0.813993	15.562455	0.4519
0.65	2.000155	14.712929		556.571234		20.857573	0.856155	15.482089	1.558
0.7	2.045718	17.575176		590.247529		20.331475	0.898793	15.414577	3.4438
0.75	2.091128	19.885945		623.786633		19.818339	0.941261	15.404485	6.1844
0.8	2.145371	22.462211		656.211679		19.335961	0.983574	15.334292	9.7519
0.85	2.201407	24.506308		686.804319		19.102002	1.024086	15.400731	14.1141
0.9	2.266832	26.617079		717.168647		18.737592	1.065486	15.377023	19.189
0.95	2.341114	28.68739		745.802843		18.475641	1.106057	15.442515	24.7659
1	2.417255	30.562433		774.027861		18.182855	1.146402	15.433721	30.7051
1.1	2.599231	33.819237		827.673333		17.739782	1.227608	15.517082	42.9877
1.2	2.806817	36.46992		878.473554		17.403242	1.30879		15.662363	54.8423
1.3	3.053457	38.697086		926.52921		17.062571	1.39169		15.813579	65.2649
1.4	3.335405	40.177428		972.196471		16.839795	1.476247	15.955879	74.1196
1.5	3.642745	41.07445		1015.816865		16.65543	1.561631	16.090246	81.1346
1.6	3.990652	41.558937		1057.067524		16.459691	1.64933		16.173836	86.5112
1.7	4.36753		41.564831		1097.673462		16.367432	1.739836	16.259889	90.4778
1.8	4.775219	41.137395		1136.694613		16.264136	1.832335	16.23988	93.2895
1.9	5.215054	40.494432		1174.006111		16.210959	1.926853	16.223664	95.1684
2	5.675904	39.608326		1211.152687		16.152158	2.023738	16.113144	96.477
2.2	6.64796		37.675951		1281.279232		16.136263	2.219024	15.89756	98.0228
2.4	7.648447	35.910611		1348.170692		16.123101	2.414182	15.632478	98.8488
2.6	8.6887		34.330906		1413.029903		16.155977	2.611911	15.392736	99.3588
2.8	9.75248		32.826183		1476.660858		16.20629	2.811122	15.103194	99.6203
3	10.826014	31.489669		1538.858217		16.265736	3.009914	14.824078	99.7976
3.2	11.920054	30.229249		1599.414296		16.31704	3.209361	14.531632	99.8892
3.4	13.041075	29.085073		1658.749849		16.377229	3.410706	14.24102	99.9396
3.6	14.157145	28.061773		1717.451958		16.395159	3.610721	13.959038	99.9662
3.8	15.279083	27.100238		1776.090975		16.436054	3.811344	13.686817	99.9814
4	16.4197		26.202103		1832.387003		16.446827	4.011615	13.43279	99.9888
4.2	17.552598	25.457109		1888.824359		16.474912	4.211063	13.205437	99.9949
4.4	18.70099	24.740481		1945.082831		16.462972	4.41215		12.980373	99.9964
4.6	19.846976	24.088155		2001.720711		16.505687	4.613319	12.758559	99.9976
4.8	21.004346	23.446205		2056.316264		16.469177	4.813571	12.55634	99.9985
5	22.159168	22.853696		2111.554711		16.459485	5.014172	12.346773	99.9992
5.5	25.064881	21.589921		2246.690735		16.399438	5.514446	11.892745	100
6	27.986751	20.463631		2380.742495		16.330133	6.015134	11.469279	99.9999
6.5	30.912128	19.559396		2513.688726		16.242699	6.514648	11.122232	100
7	33.867378	18.723296		2643.958379		16.150702	7.014417	10.770961	100
7.5	36.824773	17.991617		2775.070286		16.046484	7.514959	10.470997	100
8	39.786036	17.340128		2904.172236		15.929912	8.013323	10.178113	100
8.5	42.756875	16.77538		3033.102645		15.794601	8.512203	9.932218	100
9	45.722346	16.24893		3161.183583		15.691911	9.009069	9.683683	100
9.5	48.684926	15.774148		3289.526854		15.605571	9.505425	9.463391	100
10	51.685647	15.352995		3417.082626		15.474822	10.005035	9.257712	100
11	57.641437	14.571615		3670.581768		15.258488	10.995697	8.871508	100
12	63.610699	13.913364		3925.713764		15.075933	11.988078	8.539548	100
13	69.584905	13.343897		4178.029467		14.890267	12.976332	8.246659	100
14	75.567766	12.846267		4430.378148		14.714293	13.964152	7.984597	100
15	81.531424	12.405867		4686.027404		14.548904	14.951954	7.741073	100
16	87.499121	12.031281		4940.138249		14.393377	15.937326	7.536868	100
17	93.483654	11.751739		5195.882515		14.251302	16.925385	7.377366	100
18	99.498389	11.652655		5453.146129		14.121357	17.917807	7.315184	100
19	105.690607	11.777533		5710.613371		14.007689	18.930714	7.397212	100
20	112.055892	11.970255		5969.811924		13.918393	19.965534	7.514285	100
