E_true	S1 Mean		S1 Res [%]		S2 Mean			S2 Res [%]	Ec [keVnr]	Ec Res[%]	Eff[%>thr]       E[keVee]
0.4	0.154516	0      			0  			nan    		nan		nan		0.0000		 nan
0.41	2.04816		nan			191.513931		nan		2.769881	nan		0.0001		 0.454555
0.42	2.04816		nan			191.513931		nan		2.769881	nan		0.0001		 0.454555
0.43	2.020239	1.95221			222.101172		0.266598	2.938704	1.028202	0.0002		 0.485123
0.44	2.131005	nan			186.416987		nan		2.794725	nan		0.0001		 0.459042
0.45	2.332663	nan			181.537889		nan		2.901247	nan		0.0001		 0.478324
0.46	2.332663	nan			181.537889		nan		2.901247	nan		0.0001		 0.478324
0.47	0.186895	0			0			nan		nan		nan		0		 nan
0.48	1.913048	0.363444		186.76006		8.465005	2.648456	3.516576	0.0002		 0.432699
0.49	1.913048	0.363444		186.76006		8.465005	2.648456	3.516576	0.0002		 0.432699
0.5	2.02087		6.366243		182.749495		5.682748	2.697145	3.128984	0.0004		 0.44146
0.52	2.140985	6.07679			180.466434		6.896483	2.764731	3.100018	0.0007		 0.453646
0.54	2.041648	10.616133		196.894649		12.667886	2.798448	2.987767	0.0009		 0.459735
0.56	1.985925	11.278284		198.139396		10.089099	2.768217	3.759912	0.0014		 0.454287
0.58	2.183825	16.984796		193.225859		11.615695	2.87152		7.289866	0.0017		 0.473061
0.6	2.126241	17.934823		199.211535		12.005974	2.869157	7.868653	0.0023		 0.472655
0.62	2.033932	10.207386		203.753249		12.681712	2.835017	5.601466	0.0037		 0.466403
0.64	2.075449	11.48508		201.948575		12.010291	2.851883	6.388046	0.0059		 0.469481
0.66	2.111435	14.589072		197.223168		10.845362	2.847239	6.422626	0.0068		 0.468639
0.68	2.093434	18.193428		205.753085		11.680069	2.886962	8.3346		0.0114		 0.475903
0.7	2.15664		19.39619		203.129226		10.844395	2.913387	8.963314	0.0105		 0.480724
0.72	2.146397	18.793001		204.244463		12.401942	2.913197	9.408541	0.017		 0.480707
0.74	2.123396	18.892896		206.250059		12.457782	2.909929	9.297893	0.021		 0.480116
0.76	2.149514	18.624244		206.201293		12.932705	2.927261	9.271216	0.0264		 0.483261
0.78	2.132688	15.753917		208.942073		12.956883	2.932946	8.231394	0.0316		 0.48425
0.8	2.138468	17.504115		205.662627		12.880873	2.916656	8.736287	0.0411		 0.481313
0.82	2.157664	18.662098		208.513152		12.839631	2.9468		9.565711	0.0492		 0.486825
0.84	2.156668	17.847249		210.207967		13.446972	2.956495	9.507586	0.0608		 0.488585
0.86	2.159386	18.854701		209.605602		13.068027	2.95448		10.083804	0.0692		 0.488246
0.88	2.164114	18.504429		209.933122		13.397251	2.959902	9.249305	0.0819		 0.489193
0.9	2.156346	17.803849		209.61381		13.738304	2.952701	9.310925	0.0978		 0.487887
0.92	2.204234	20.130732		210.377182		13.763654	2.98923		10.497492	0.114		 0.49459
0.94	2.180463	20.435565		210.944683		13.55237	2.976769	10.286953	0.1351		 0.492311
0.96	2.196546	21.107418		212.97635		13.379889	2.99986		10.637249	0.1547		 0.496533
0.98	2.194611	21.066207		213.935058		14.050809	3.004374	10.728191	0.1831		 0.49736
1	2.202633	21.473192		213.034072		14.615674	3.00416		11.069148	0.2168		 0.497339
1.05	2.199298	21.845608		215.645808		15.334714	3.017757	11.334606	0.2992		 0.49983
1.1	2.219289	21.558061		215.589094		15.077505	3.030841	11.276462	0.4222		 0.502213
1.15	2.224051	22.847143		217.985996		15.086585	3.048456	11.774435	0.5681		 0.505453
1.2	2.234818	22.985857		219.868739		15.811839	3.067028	12.017627	0.7089		 0.508859
1.25	2.242302	23.420351		221.289816		15.926772	3.080585	12.264399	0.9213		 0.51135
1.3	2.257109	23.753419		222.714961		16.244511	3.099073	12.473637	1.1535		 0.514741
1.35	2.269934	24.596127		224.527602		16.441156	3.118446	13.005846	1.441		 0.518317
1.4	2.279315	24.932945		226.453462		17.014279	3.136302	13.245365	1.7935		 0.5216
1.45	2.301348	25.786416		227.538721		17.069728	3.157401	13.717641	2.1621		 0.525495
1.5	2.30631		25.986107		229.271777		17.318382	3.171194	13.742713	2.6047		 0.528025
1.55	2.316921	26.252513		230.666825		17.597905	3.186605	13.998073	3.1083		 0.530868
1.6	2.331068	26.624502		232.039167		17.942607	3.204213	14.284908	3.6273		 0.534118
1.65	2.344912	27.343048		233.908265		18.395083	3.224537	14.713301	4.2312		 0.53788
1.7	2.35376		27.629566		235.859799		18.565329	3.242179	14.810332	4.8779		 0.541126
1.75	2.37149		28.229356		237.705806		18.783666	3.264936	15.178922	5.6146		 0.545338
1.8	2.383883	28.499681		239.447695		19.145481	3.283595	15.354817	6.3558		 0.548783
1.85	2.398704	28.824812		241.271653		19.504807	3.30433		15.56495	7.2513		 0.552615
1.9	2.413099	29.402288		242.866592		19.67374	3.323348	15.851825	8.1265		 0.556141
1.95	2.427456	29.804331		244.883348		19.88071	3.344877	16.110178	9.0605		 0.560129
2	2.442909	30.249311		246.797819		20.219921	3.366491	16.37514	10.1147		 0.564138
2.1	2.478054	31.165833		250.547503		20.823374	3.411981	16.921449	12.2199		 0.572584
2.2	2.510047	31.827451		254.463067		21.33337	3.456413	17.275138	14.6652		 0.580829
2.3	2.545958	32.472515		258.309531		21.815545	3.502888	17.720897	17.1727		 0.589474
2.4	2.579738	33.084989		262.579879		22.298496	3.550481	18.048213	19.935		 0.598329
2.5	2.617884	33.796035		266.759326		22.761387	3.600245	18.496808	22.7558		 0.607613
2.6	2.660533	34.51437		270.879197		23.129401	3.652556	18.894004	25.7309		 0.61738
2.7	2.699263	35.065612		275.493776		23.560682	3.705189	19.223846	28.7416		 0.627217
2.8	2.738933	35.741276		280.061441		24.042293	3.758031	19.601749	31.8071		 0.637114
2.9	2.784288	36.370924		284.767193		24.382409	3.815337	19.946387	34.906		 0.647856
3	2.825988	36.836066		289.67178		24.780049	3.871385	20.219027	37.9621		 0.658372
3.1	2.873744	37.402355		294.415719		25.210598	3.930293	20.536213	41.1302		 0.669448
3.2	2.91981		37.802444		299.47903		25.514027	3.989932	20.786717	44.0041		 0.680669
3.3	2.969071	38.290379		304.469777		25.770704	4.051099	21.051854	47.0983		 0.692199
3.4	3.016575	38.775056		309.691439		26.040955	4.112403	21.285729	49.8558		 0.703769
3.5	3.071682	39.13666		314.867145		26.283286	4.178265	21.497242	52.7899		 0.716214
3.6	3.12295		39.569284		320.401849		26.570625	4.243627	21.7156		55.4747		 0.728586
3.7	3.18008		39.851672		325.720773		26.731688	4.31146		21.860196	58.2199		 0.741434
3.8	3.234383	40.185868		331.461066		26.980748	4.379757	22.059906	60.7362		 0.754401
3.9	3.291123	40.46164		336.88985		27.154398	4.447728	22.213816	63.1235		 0.767319
4	3.35		40.748508		342.814074		27.288897	4.519855	22.346433	65.4974		 0.781045
4.1	3.410597	41.039038		348.57503		27.435326	4.591968	22.513896	67.7485		 0.794798
4.2	3.474474	41.272211		354.464276		27.583325	4.666887	22.592088	69.7569		 0.809092
4.3	3.541526	41.469524		360.334012		27.715862	4.743539	22.720777	71.8095		 0.823749
4.4	3.605415	41.591016		366.25691		27.783416	4.818419	22.776874	73.7265		 0.838079
4.5	3.670862	41.805983		372.102934		27.816089	4.893688	22.869894	75.5045		 0.852512
4.6	3.736322	41.888955		378.226626		27.896669	4.970468	22.932905	77.17		 0.867253
4.7	3.806029	42.025876		384.435502		27.925176	5.050322	22.978667	78.7687		 0.882603
4.8	3.880046	42.162304		390.32759		27.95594	5.130886	23.07641	80.3146		 0.898127
4.9	3.950633	42.214035		396.546942		27.985731	5.211129	23.084455	81.7349		 0.913594
5	4.02389		42.227613		402.715041		28.007418	5.292644	23.082626	83.0025		 0.929329
5.2	4.175661	42.283755		415.324917		28.00018	5.460097	23.115199	85.3257		 0.961735
5.4	4.331801	42.22115		427.844347		27.968903	5.629349	23.059399	87.3851		 0.99457
5.6	4.497157	42.111309		440.656506		27.922169	5.805461	23.022431	89.1588		 1.028845
5.8	4.665194	41.971295		452.739693		27.819538	5.97863		22.937955	90.7207		 1.062637
6	4.840964	41.734362		465.702234		27.715527	6.161069	22.831206	92.0125		 1.098336
6.2	5.022525	41.444231		478.227445		27.567442	6.344113	22.706737	93.116		 1.134253
6.4	5.201346	41.156736		490.733352		27.464726	6.524795	22.59891	94.1352		 1.169811
6.6	5.394276	40.796349		503.337437		27.353969	6.714267	22.440878	94.9202		 1.20719
6.8	5.584863	40.436914		515.872909		27.191547	6.901391	22.278534	95.6167		 1.244205
7	5.779026	39.971504		528.40764		27.032398	7.090272	22.061444	96.13		 1.28165
7.2	5.981952	39.5734			540.603806		26.874764	7.282049	21.890531	96.639		 1.319784
7.4	6.187258	39.189065		552.893614		26.770191	7.475294	21.714788	97.1111		 1.358306
7.6	6.393638	38.684164		565.038879		26.604528	7.667942	21.50711	97.4568		 1.396797
7.8	6.605739	38.283213		577.123134		26.398423	7.863172	21.339955	97.7644		 1.435913
8	6.817293	37.78611		589.394263		26.276073	8.058695	21.127616	98.0095		 1.475166
8.2	7.035419	37.375467		600.89916		26.135342	8.25342		20.965803	98.2279		 1.514369
8.4	7.246145	36.990541		612.85102		25.957007	8.445709	20.789468	98.4384		 1.553162
8.6	7.471756	36.54977		624.423748		25.791815	8.644444	20.598297	98.6487		 1.593344
8.8	7.6884		36.130887		636.278369		25.656175	8.838843	20.435564	98.7678		 1.632745
9	7.912778	35.736084		647.87777		25.523997	9.036046	20.276065	98.9352		 1.672801
9.2	8.141632	35.335388		659.098631		25.376106	9.233496	20.082203	99.0639		 1.712981
9.4	8.364946	34.931669		670.648709		25.214675	9.428989	19.905584	99.179		 1.752849
9.6	8.601837	34.614619		681.773489		25.090322	9.629683	19.803974	99.282		 1.793894
9.8	8.832821	34.181927		693.386399		24.92473	9.829315	19.587491	99.3735		 1.834759
10	9.062507	33.823195		704.387669		24.795668	10.024382	19.432934	99.4622		 1.874788
10.5	9.656696	32.93309		731.487652		24.506496	10.519954	19.062087	99.6085		 1.976834
