dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,converted,excluded
Scalettar 1982,5640,0,0,268,0,0,0.46,0,0,0,0
Scalettar 1982,5640,0,0,270,0,0,0.43,0,0,0,0
Scalettar 1982,5640,0,0,328,0,0,0.49,0,0,0,0
Scalettar 1982,5640,0,0,420,0,0,0.58,0,0,0,0
Scalettar 1982,5640,0,0,441,0,0,0.55,0,0,0,0
Scalettar 1982,5640,0,0,461,0,0,0.58,0,0,0,0
Scalettar 1982,5640,0,0,487,0,0,0.59,0,0,0,0
Scalettar 1982,5640,0,0,501,0,0,0.6,0,0,0,0
Scalettar 1982,5640,0,0,533,0,0,0.55,0,0,0,0
Scalettar 1982,5640,0,0,539,0,0,0.61,0,0,0,0
Scalettar 1982,5640,0,0,540,0,0,0.62,0,0,0,0
Scalettar 1982,5640,0,0,556,0,0,0.64,0,0,0,0
Scalettar 1982,5640,0,0,592,0,0,0.65,0,0,0,0
Scalettar 1982,5640,0,0,663,0,0,0.72,0,0,0,0
Scalettar 1982,5640,0,0,669,0,0,0.71,0,0,0,0
Scalettar 1982,5640,0,0,819,0,0,0.78,0,0,0,0
Scalettar 1982,5640,0,0,836,0,0,0.73,0,0,0,0
Scalettar 1982,5640,0,0,836,0,0,0.82,0,0,0,0
Scalettar 1982,5640,0,0,839,0,0,0.79,0,0,0,0
Scalettar 1982,5640,0,0,839,0,0,0.8,0,0,0,0
Scalettar 1982,5640,0,0,860,0,0,0.82,0,0,0,0
Scalettar 1982,5640,0,0,999,0,0,0.93,0,0,0,0
Scalettar 1982,5640,0,0,1004,0,0,0.92,0,0,0,0
Scalettar 1982,5640,0,0,1036,0,0,0.92,0,0,0,0
Scalettar 1982,5640,0,0,1330,0,0,1.05,0,0,0,0
Scalettar 1982,5640,0,0,1414,0,0,1.08,0,0,0,0
Scalettar 1982,5640,0,0,1489,0,0,1.18,0,0,0,0
Scalettar 1982,5640,0,0,1743,0,0,1.29,0,0,0,0
