dataset,temperature,temperature_sl,temperature_sh,field,pressure,pressure_sl,pressure_sh,phase,velocity,velocity_sl,velocity_sh
uBooNE 2009,87,0,0,0.518519,0,0,0,liquid,1.60837,0,0
uBooNE 2009,87,0,0,0.774728,0,0,0,liquid,1.88424,0,0
uBooNE 2009,87,0,0,1.01874,0,0,0,liquid,2.10591,0,0
uBooNE 2009,87,0,0,1.28715,0,0,0,liquid,2.28325,0,0
uBooNE 2009,87,0,0,1.50675,0,0,0,liquid,2.44581,0,0
uBooNE 2009,87,0,0,1.79956,0,0,0,liquid,2.58867,0,0
uBooNE 2009,87,0,0,2.03137,0,0,0,liquid,2.7266,0,0
uBooNE 2009,87,0,0,2.25098,0,0,0,liquid,2.84483,0,0
uBooNE 2009,87,0,0,2.53159,0,0,0,liquid,2.9532,0,0
uBooNE 2009,87,0,0,2.7756,0,0,0,liquid,3.05665,0,0
uBooNE 2009,87,0,0,3.04401,0,0,0,liquid,3.15025,0,0
uBooNE 2009,87,0,0,3.30022,0,0,0,liquid,3.24877,0,0
uBooNE 2009,87,0,0,3.53203,0,0,0,liquid,3.30788,0,0
uBooNE 2009,87,0,0,3.78824,0,0,0,liquid,3.43596,0,0
uBooNE 2009,87,0,0,4.08105,0,0,0,liquid,3.51478,0,0
uBooNE 2009,87,0,0,4.73987,0,0,0,liquid,3.71182,0,0
uBooNE 2009,87,0,0,5.5207,0,0,0,liquid,3.93842,0,0
uBooNE 2009,87,0,0,6.36253,0,0,0,liquid,4.11576,0,0
uBooNE 2009,87,0,0,7.13115,0,0,0,liquid,4.2931,0,0
uBooNE 2009,87,0,0,7.92418,0,0,0,liquid,4.43596,0,0
uBooNE 2009,87,0,0,8.69281,0,0,0,liquid,4.59852,0,0
uBooNE 2009,87,0,0,9.48584,0,0,0,liquid,4.71675,0,0
uBooNE 2009,87,0,0,10.2789,0,0,0,liquid,4.83498,0,0
uBooNE 2009,87,0,0,11.0719,0,0,0,liquid,4.91379,0,0
uBooNE 2009,87,0,0,11.8161,0,0,0,liquid,5.00246,0,0
uBooNE 2009,89.8,0,0,0.530719,0,0,0,liquid,1.51478,0,0
uBooNE 2009,89.8,0,0,0.811329,0,0,0,liquid,1.79557,0,0
uBooNE 2009,89.8,0,0,1.03094,0,0,0,liquid,2.00739,0,0
uBooNE 2009,89.8,0,0,1.28715,0,0,0,liquid,2.1601,0,0
uBooNE 2009,89.8,0,0,1.50675,0,0,0,liquid,2.32266,0,0
uBooNE 2009,89.8,0,0,1.79956,0,0,0,liquid,2.46552,0,0
uBooNE 2009,89.8,0,0,2.05577,0,0,0,liquid,2.58867,0,0
uBooNE 2009,89.8,0,0,2.28758,0,0,0,liquid,2.7069,0,0
uBooNE 2009,89.8,0,0,2.54379,0,0,0,liquid,2.81527,0,0
uBooNE 2009,89.8,0,0,2.7878,0,0,0,liquid,2.91872,0,0
uBooNE 2009,89.8,0,0,3.03181,0,0,0,liquid,3.01724,0,0
uBooNE 2009,89.8,0,0,3.30022,0,0,0,liquid,3.10099,0,0
uBooNE 2009,89.8,0,0,3.55643,0,0,0,liquid,3.17488,0,0
uBooNE 2009,89.8,0,0,3.78824,0,0,0,liquid,3.25862,0,0
uBooNE 2009,89.8,0,0,4.02004,0,0,0,liquid,3.33744,0,0
uBooNE 2009,89.8,0,0,4.76427,0,0,0,liquid,3.57389,0,0
uBooNE 2009,89.8,0,0,5.5695,0,0,0,liquid,3.74138,0,0
uBooNE 2009,89.8,0,0,6.35033,0,0,0,liquid,3.90887,0,0
uBooNE 2009,89.8,0,0,7.11895,0,0,0,liquid,4.05172,0,0
uBooNE 2009,89.8,0,0,7.94858,0,0,0,liquid,4.20936,0,0
uBooNE 2009,89.8,0,0,8.70501,0,0,0,liquid,4.34236,0,0
uBooNE 2009,89.8,0,0,9.47364,0,0,0,liquid,4.46059,0,0
uBooNE 2009,89.8,0,0,10.2789,0,0,0,liquid,4.55419,0,0
uBooNE 2009,89.8,0,0,11.0597,0,0,0,liquid,4.65764,0,0
uBooNE 2009,89.8,0,0,11.8527,0,0,0,liquid,4.75616,0,0
uBooNE 2009,89.8,0,0,12.6336,0,0,0,liquid,4.83498,0,0
uBooNE 2009,93.9,0,0,0.542919,0,0,0,liquid,1.39655,0,0
uBooNE 2009,93.9,0,0,0.799129,0,0,0,liquid,1.65271,0,0
uBooNE 2009,93.9,0,0,1.03094,0,0,0,liquid,1.84483,0,0
uBooNE 2009,93.9,0,0,1.29935,0,0,0,liquid,2.00739,0,0
uBooNE 2009,93.9,0,0,1.79956,0,0,0,liquid,2.28325,0,0
uBooNE 2009,93.9,0,0,2.04357,0,0,0,liquid,2.40148,0,0
uBooNE 2009,93.9,0,0,2.31198,0,0,0,liquid,2.5197,0,0
uBooNE 2009,93.9,0,0,2.56819,0,0,0,liquid,2.60837,0,0
uBooNE 2009,93.9,0,0,2.8488,0,0,0,liquid,2.7069,0,0
uBooNE 2009,93.9,0,0,3.01961,0,0,0,liquid,2.79064,0,0
uBooNE 2009,93.9,0,0,3.28802,0,0,0,liquid,2.86946,0,0
uBooNE 2009,93.9,0,0,3.56863,0,0,0,liquid,2.9532,0,0
uBooNE 2009,93.9,0,0,3.77603,0,0,0,liquid,3.02709,0,0
uBooNE 2009,93.9,0,0,4.02004,0,0,0,liquid,3.07143,0,0
uBooNE 2009,93.9,0,0,4.77647,0,0,0,liquid,3.30296,0,0
uBooNE 2009,93.9,0,0,5.5817,0,0,0,liquid,3.46059,0,0
uBooNE 2009,93.9,0,0,6.35033,0,0,0,liquid,3.64778,0,0
uBooNE 2009,93.9,0,0,7.11895,0,0,0,liquid,3.80049,0,0
uBooNE 2009,93.9,0,0,7.93638,0,0,0,liquid,3.92365,0,0
uBooNE 2009,93.9,0,0,8.70501,0,0,0,liquid,4.05665,0,0
uBooNE 2009,93.9,0,0,9.49804,0,0,0,liquid,4.1601,0,0
uBooNE 2009,93.9,0,0,10.2667,0,0,0,liquid,4.25862,0,0
uBooNE 2009,93.9,0,0,11.0841,0,0,0,liquid,4.36207,0,0
uBooNE 2009,93.9,0,0,11.8527,0,0,0,liquid,4.44089,0,0
uBooNE 2009,93.9,0,0,12.658,0,0,0,liquid,4.53941,0,0
Li 2016,87,-1,3,0.0099794,1.2,0.1,0.1,gas,1.26112,0,0
Li 2016,87,-1,3,0.0201273,1.2,0.1,0.1,gas,1.44487,0,0
Li 2016,87,-1,3,0.0397533,1.2,0.1,0.1,gas,1.68665,0,0
Li 2016,87,-1,3,0.0988564,1.2,0.1,0.1,gas,2.13153,0,0
Li 2016,87,-1,3,0.203602,1.2,0.1,0.1,gas,2.54739,0,0
