dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,charge,converted,excluded
Sangiorgio 2013,0.27,0,0,2400,0,0,40.05,8.66,8.66,0,0,1
Sangiorgio 2013,2.82,0,0,2400,0,0,22.98,3.10,3.10,0,0,0
Sangiorgio 2013,5.9,0,0,2400,0,0,16.00,2.45,2.45,0,0,0
Scalettar 1982,364,0,0,71,0,0,12.16,0,0,0.71,0,0
Scalettar 1982,364,0,0,74,0,0,12.84,0,0,0.75,0,0
Scalettar 1982,364,0,0,84,0,0,12.91,0,0,0.75,0,0
Scalettar 1982,364,0,0,89,0,0,13.5,0,0,0.79,0,0
Scalettar 1982,364,0,0,94,0,0,13.35,0,0,0.78,0,0
Scalettar 1982,364,0,0,101,0,0,14.39,0,0,0.84,0,0
Scalettar 1982,364,0,0,101,0,0,13.87,0,0,0.81,0,0
Scalettar 1982,364,0,0,110,0,0,13.02,0,0,0.76,0,0
Scalettar 1982,364,0,0,119,0,0,14.57,0,0,0.85,0,0
Scalettar 1982,364,0,0,128,0,0,15.39,0,0,0.90,0,0
Scalettar 1982,364,0,0,129,0,0,15.55,0,0,0.91,0,0
Scalettar 1982,364,0,0,130,0,0,13.98,0,0,0.82,0,0
Scalettar 1982,364,0,0,139,0,0,15.74,0,0,0.92,0,0
Scalettar 1982,364,0,0,145,0,0,15.52,0,0,0.90,0,0
Scalettar 1982,364,0,0,148,0,0,15.26,0,0,0.89,0,0
Scalettar 1982,364,0,0,152,0,0,17,0,0,0.99,0,0
Scalettar 1982,364,0,0,160,0,0,16.67,0,0,0.97,0,0
Scalettar 1982,364,0,0,176,0,0,17.42,0,0,1.02,0,0
Scalettar 1982,364,0,0,180,0,0,17.33,0,0,1.01,0,0
Scalettar 1982,364,0,0,185,0,0,17.96,0,0,1.05,0,0
Scalettar 1982,364,0,0,188,0,0,16.07,0,0,0.94,0,0
Scalettar 1982,364,0,0,192,0,0,17.81,0,0,1.04,0,0
Scalettar 1982,364,0,0,200,0,0,17.58,0,0,1.03,0,0
Scalettar 1982,364,0,0,205,0,0,18.56,0,0,1.08,0,0
Scalettar 1982,364,0,0,210,0,0,18.89,0,0,1.10,0,0
Scalettar 1982,364,0,0,240,0,0,19.37,0,0,1.13,0,0
Scalettar 1982,364,0,0,243,0,0,18.91,0,0,1.10,0,0
Scalettar 1982,364,0,0,248,0,0,20.06,0,0,1.17,0,0
Scalettar 1982,364,0,0,268,0,0,20.41,0,0,1.19,0,0
