dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,phe,phe_sl,phe_sh,converted,excluded
WARP 2014,1173,0,0,0,0,0,48.97,4.89,4.89,1.54,0.10,0.10,0,0
WARP 2014,1335,0,0,0,0,0,49.92,4.24,4.24,1.57,0.06,0.06,0,0
WARP 2014,356,0,0,0,0,0,49.33,4.86,4.86,1.55,0.14,0.14,0,0
WARP 2014,662,0,0,0,0,0,48.93,4.82,4.82,1.54,0.09,0.09,0,0
Lippincott 2010,41.5,0,0,0,0,0,47.73,4.72,4.72,6.00,0.07,0.07,0,0
Lippincott 2010,122,0,0,0,0,0,47.58,4.69,4.69,5.98,0.06,0.06,0,0
Lippincott 2010,356,0,0,0,0,0,49.33,4.86,4.86,6.20,0.06,0.06,0,0
Lippincott 2010,511,0,0,0,0,0,49.17,4.8,4.8,6.18,0.06,0.06,0,0
Lippincott 2010,662,0,0,0,0,0,48.93,4.82,4.82,6.15,0.06,0.06,0,0
ARIS 2018,41.9,0,0,0,0,0,52.82,3.79,3.79,1.077,0.042,0.042,0,0
ARIS 2018,59.5,0,0,0,0,0,48.69,2.97,2.97,0.993,0.010,0.010,0,0
ARIS 2018,75.8,0,0,0,0,0,47.99,3.61,3.61,0.979,0.044,0.044,0,0
ARIS 2018,81,0,0,0,0,0,48.46,2.96,2.96,0.988,0.010,0.010,0,0
ARIS 2018,94.8,8.055,8.055,0,0,0,50.76,5.33,5.33,1.035,0.089,0.089,0,0
ARIS 2018,110.1,0,0,0,0,0,49.68,3.4,3.4,1.013,0.033,0.033,0,0
ARIS 2018,174.6,5.2,5.2,0,0,0,49.43,3.36,3.36,1.008,0.032,0.032,0,0
ARIS 2018,231.9,7.05,7.05,0,0,0,49.09,3.35,3.35,1.001,0.032,0.032,0,0
ARIS 2018,282.7,8.45,8.45,0,0,0,49.53,3.37,3.37,1.010,0.032,0.032,0,0
ARIS 2018,304.8,9.05,9.05,0,0,0,47.51,3.26,3.26,0.969,0.032,0.032,0,0
ARIS 2018,356,4.85,4.85,0,0,0,49.33,3.44,3.44,0.994,0.009,0.009,0,0
ARIS 2018,511,0,0,0,0,0,49.17,4.8,4.8,1.015,0.010,0.010,0,0
ARIS 2018,39.6,0,0,50,0,0,45.76,3.51,3.51,0.933,0.044,0.044,0,0
ARIS 2018,59.5,0,0,50,0,0,45.32,2.73,2.73,0.924,0.000,0.000,0,0
ARIS 2018,71.8,0,0,50,0,0,48.76,4.17,4.17,0.994,0.060,0.060,0,0
ARIS 2018,81,0,0,50,0,0,45.17,2.72,2.72,0.921,0.000,0.000,0,0
ARIS 2018,89.5,0,0,50,0,0,43.67,5.51,5.51,0.890,0.099,0.099,0,0
ARIS 2018,104.7,0,0,50,0,0,43.15,2.89,2.89,0.880,0.026,0.026,0,0
ARIS 2018,166.2,0,0,50,0,0,46.67,3.11,3.11,0.952,0.027,0.027,0,0
ARIS 2018,221.8,0,0,50,0,0,41.49,2.79,2.79,0.846,0.025,0.025,0,0
ARIS 2018,271,0,0,50,0,0,42.44,2.62,2.62,0.865,0.012,0.012,0,0
ARIS 2018,292.5,0,0,50,0,0,41.45,3.05,3.05,0.845,0.036,0.036,0,0
ARIS 2018,39.6,0,0,100,0,0,41.49,3.39,3.39,0.846,0.047,0.047,0,0
