dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,converted,excluded
SCENE 2015,16.9,1.5,1.5,96.4,0,0,3.00,0.20,0.20,0,0
SCENE 2015,16.9,1.5,1.5,193,0,0,3.68,0.20,0.20,0,0
SCENE 2015,16.9,1.5,1.5,293,0,0,4.23,0.27,0.27,0,0
SCENE 2015,16.9,1.5,1.5,486,0,0,4.68,0.24,0.24,0,0
SCENE 2015,25.4,2.9,3.2,193,0,0,3.00,0.17,0.17,0,0
SCENE 2015,25.4,2.9,3.2,293,0,0,3.45,0.20,0.20,0,0
SCENE 2015,25.4,2.9,3.2,486,0,0,3.87,0.20,0.20,0,0
SCENE 2015,36.1,3.1,3.1,193,0,0,2.45,0.13,0.13,0,0
SCENE 2015,36.1,3.1,3.1,293,0,0,2.81,0.17,0.17,0,0
SCENE 2015,36.1,3.1,3.1,486,0,0,3.16,0.14,0.14,0,0
SCENE 2015,57.3,4.9,5.0,96.4,0,0,1.42,0.13,0.13,0,0
SCENE 2015,57.3,4.9,5.0,193,0,0,1.84,0.10,0.10,0,0
SCENE 2015,57.3,4.9,5.0,293,0,0,2.06,0.13,0.13,0,0
SCENE 2015,57.3,4.9,5.0,486,0,0,2.35,0.17,0.17,0,0
Joshi 2015,6.7,0,0,240,13,13,3.60,1.10,0.51,0,0
Joshi 2015,6.7,0,0,640,35,35,4.90,1.22,0.61,0,0
Joshi 2015,6.7,0,0,1600,90,90,5.90,1.41,0.73,0,0
Joshi 2015,6.7,0,0,2130,120,120,6.30,1.63,0.81,0,0
Bondar 2017,233,0.00,0.00,2300,0,0,9.7,1.3,1.3,0,1
Bondar 2017,80,2.00,2.00,2300,0,0,7.8,1.1,1.1,0,1
ARIS 2018,7.1,0.18,0.18,200,0,0,6.14,0.52,0.52,0,0
ARIS 2018,13.7,0.34,0.34,200,0,0,4.34,0.36,0.36,0,0
ARIS 2018,17.8,0.98,0.98,200,0,0,3.67,0.36,0.36,0,0
ARIS 2018,21.7,0.54,0.54,200,0,0,3.35,0.23,0.23,0,0
ARIS 2018,40.5,1.01,1.01,200,0,0,2.33,0.17,0.17,0,0
ARIS 2018,65.4,1.64,1.64,200,0,0,1.64,0.14,0.14,0,0
ARIS 2018,98.1,2.45,2.45,200,0,0,1.37,0.12,0.12,0,0
ARIS 2018,117.8,2.95,2.95,200,0,0,1.22,0.08,0.08,0,0
