dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,l_eff,l_eff_sl,l_eff_sh,converted,excluded
SCENE 2015,10.3,1.4,1.5,0,0,0,11.3,0.53,0.53,0.235,0.011,0.011,0,0
SCENE 2015,14.8,2.6,2.7,0,0,0,11.49,0.63,0.63,0.239,0.013,0.013,0,0
SCENE 2015,16.9,1.5,1.5,0,0,0,11.25,0.48,0.48,0.234,0.01,0.01,0,0
SCENE 2015,20.5,2.8,3,0,0,0,12.36,0.48,0.48,0.257,0.01,0.01,0,0
SCENE 2015,25.4,2.9,3.2,0,0,0,12.07,0.53,0.53,0.251,0.011,0.011,0,0
SCENE 2015,28.7,2.8,2.8,0,0,0,12.69,0.43,0.43,0.264,0.009,0.009,0,0
SCENE 2015,36.1,3.1,3.1,0,0,0,13.37,0.48,0.48,0.278,0.01,0.01,0,0
SCENE 2015,49.7,3.4,3.4,0,0,0,13.99,0.43,0.43,0.291,0.009,0.009,0,0
SCENE 2015,57.3,4.9,5,0,0,0,14.18,0.48,0.48,0.295,0.01,0.01,0,0
SCENE 2015,10.3,1.4,1.5,96.4,0,0,10.72,0.48,0.48,0.223,0.01,0.01,0,0
SCENE 2015,14.8,2.6,2.7,96.4,0,0,11.2,0.53,0.53,0.233,0.011,0.011,0,0
SCENE 2015,16.9,1.5,1.5,96.4,0,0,10.1,0.43,0.43,0.21,0.009,0.009,0,0
SCENE 2015,20.5,2.8,3,96.4,0,0,11.68,0.48,0.48,0.243,0.01,0.01,0,0
SCENE 2015,25.4,2.9,3.2,96.4,0,0,10.96,0.53,0.53,0.228,0.011,0.011,0,0
SCENE 2015,28.7,2.8,2.8,96.4,0,0,12.79,0.38,0.38,0.266,0.008,0.008,0,0
SCENE 2015,36.1,3.1,3.1,96.4,0,0,13.08,0.48,0.48,0.272,0.01,0.01,0,0
SCENE 2015,49.7,3.4,3.4,96.4,0,0,13.99,0.48,0.48,0.291,0.01,0.01,0,0
SCENE 2015,57.3,4.9,5,96.4,0,0,13.61,0.43,0.43,0.283,0.009,0.009,0,0
SCENE 2015,16.9,1.5,1.5,193,0,0,9.71,0.38,0.38,0.202,0.008,0.008,0,0
SCENE 2015,20.5,2.8,3,193,0,0,10.91,0.43,0.43,0.227,0.009,0.009,0,0
SCENE 2015,25.4,2.9,3.2,193,0,0,10.72,0.43,0.43,0.223,0.009,0.009,0,0
SCENE 2015,36.1,3.1,3.1,193,0,0,12.74,0.48,0.48,0.265,0.01,0.01,0,0
SCENE 2015,57.3,4.9,5,193,0,0,13.56,0.58,0.58,0.282,0.012,0.012,0,0
SCENE 2015,10.3,1.4,1.5,293,0,0,8.89,0.58,0.58,0.185,0.012,0.012,0,0
SCENE 2015,14.8,2.6,2.7,293,0,0,9.81,0.48,0.48,0.204,0.01,0.01,0,0
SCENE 2015,16.9,1.5,1.5,293,0,0,9.09,0.48,0.48,0.189,0.01,0.01,0,0
SCENE 2015,20.5,2.8,3,293,0,0,10.48,0.43,0.43,0.218,0.009,0.009,0,0
SCENE 2015,25.4,2.9,3.2,293,0,0,10.1,0.53,0.53,0.21,0.011,0.011,0,0
SCENE 2015,28.7,2.8,2.8,293,0,0,11.39,0.43,0.43,0.237,0.009,0.009,0,0
SCENE 2015,36.1,3.1,3.1,293,0,0,12.07,0.77,0.77,0.251,0.016,0.016,0,0
SCENE 2015,49.7,3.4,3.4,293,0,0,12.88,0.38,0.38,0.268,0.008,0.008,0,0
SCENE 2015,57.3,4.9,5,293,0,0,13.13,0.53,0.53,0.273,0.011,0.011,0,0
SCENE 2015,10.3,1.4,1.5,970,0,0,7.64,0.53,0.53,0.159,0.011,0.011,0,0
