dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,converted,excluded
SCENE 2015,16.9,1.5,1.5,96.4,0,0,13.1,0.48,0.48,0,0
SCENE 2015,16.9,1.5,1.5,193,0,0,13.39,0.43,0.43,0,0
SCENE 2015,16.9,1.5,1.5,293,0,0,13.32,0.55,0.55,0,0
SCENE 2015,25.4,2.9,3.2,193,0,0,13.72,0.46,0.46,0,0
SCENE 2015,25.4,2.9,3.2,293,0,0,13.55,0.57,0.57,0,0
SCENE 2015,36.1,3.1,3.1,193,0,0,15.19,0.5,0.5,0,0
SCENE 2015,36.1,3.1,3.1,293,0,0,14.88,0.79,0.79,0,0
SCENE 2015,57.3,4.9,5,96.4,0,0,15.03,0.45,0.45,0,0
SCENE 2015,57.3,4.9,5,193,0,0,15.4,0.59,0.59,0,0
SCENE 2015,57.3,4.9,5,293,0,0,15.19,0.54,0.5,0,0
ARIS 2018,7.1,0.18,0.18,200,0,0,15.49,0.51,0.51,0,0
ARIS 2018,13.7,0.34,0.34,200,0,0,14.86,0.48,0.48,0,0
ARIS 2018,17.8,0.98,0.98,200,0,0,14.89,0.65,0.65,0,0
ARIS 2018,21.7,0.54,0.54,200,0,0,14.57,0.31,0.31,0,0
ARIS 2018,40.5,1.01,1.01,200,0,0,15.17,0.38,0.38,0,0
ARIS 2018,65.4,1.64,1.64,200,0,0,15.58,0.53,0.53,0,0
ARIS 2018,98.1,2.45,2.45,200,0,0,16.96,0.39,0.39,0,0
ARIS 2018,117.8,2.95,2.95,200,0,0,17.56,0.36,0.36,0,0
